# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> April 06, 2017 
# ==================================================================
#
# Disk File Name = SRIM Outputs\Hydrogen in PilotB.txt
#
# Ion = Hydrogen [1] , Mass = 1.008 amu
#
# Target Density =  1.0200E+00 g/cm3 = 9.8316E+22 atoms/cm3
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#      H      1    052.38    008.45   
#      C      6    047.62    091.55   
# ====================================
# Bragg Correction = 0.00%
# Stopping Units =  MeV / (mg/cm2) 
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected 
#   Energy[MeV]      Elec.      Nuclear     Range  
#  --------------  ---------- ---------- ----------
 0.1000            9.366E-01  1.414E-03  0.000119   
 0.1100            9.166E-01  1.307E-03  0.000130   
 0.1200            8.946E-01  1.216E-03  0.000141   
 0.1300            8.716E-01  1.138E-03  0.000152   
 0.1400            8.483E-01  1.070E-03  0.000163   
 0.1500            8.252E-01  1.010E-03  0.000175   
 0.1600            8.026E-01  9.573E-04  0.000187   
 0.1700            7.807E-01  9.099E-04  0.000199   
 0.1800            7.596E-01  8.673E-04  0.000212   
 0.2000            7.201E-01  7.938E-04  0.000238   
 0.2250            6.759E-01  7.187E-04  0.000273   
 0.2500            6.369E-01  6.574E-04  0.000310   
 0.2750            6.025E-01  6.063E-04  0.000349   
 0.3000            5.720E-01  5.630E-04  0.000391   
 0.3250            5.448E-01  5.259E-04  0.000435   
 0.3500            5.205E-01  4.936E-04  0.000481   
 0.3750            4.987E-01  4.653E-04  0.000529   
 0.4000            4.789E-01  4.403E-04  0.000579   
 0.4500            4.445E-01  3.979E-04  0.000685   
 0.5000            4.156E-01  3.634E-04  0.000798   
 0.5500            3.908E-01  3.347E-04  0.000920   
 0.6000            3.695E-01  3.104E-04  0.001048   
 0.6500            3.507E-01  2.896E-04  0.001184   
 0.7000            3.342E-01  2.716E-04  0.001327   
 0.8000            3.063E-01  2.418E-04  0.001632   
 0.9000            2.835E-01  2.182E-04  0.001964   
   1.00            2.647E-01  1.990E-04  0.002321   
   1.10            2.512E-01  1.831E-04  0.002701   
   1.20            2.381E-01  1.696E-04  0.003101   
   1.30            2.250E-01  1.581E-04  0.003523   
   1.40            2.134E-01  1.481E-04  0.003970   
   1.50            2.030E-01  1.394E-04  0.004440   
   1.60            1.937E-01  1.317E-04  0.004933   
   1.70            1.852E-01  1.248E-04  0.005450   
   1.80            1.775E-01  1.187E-04  0.005990   
   2.00            1.641E-01  1.081E-04  0.007136   
   2.25            1.501E-01  9.741E-05  0.008695   
   2.50            1.386E-01  8.871E-05  0.010391   
   2.75            1.288E-01  8.151E-05  0.012223   
   3.00            1.204E-01  7.544E-05  0.014188   
   3.25            1.132E-01  7.025E-05  0.016283   
   3.50            1.068E-01  6.575E-05  0.018508   
   3.75            1.012E-01  6.183E-05  0.020861   
   4.00            9.624E-02  5.836E-05  0.023340   
   4.50            8.772E-02  5.253E-05  0.028667   
   5.00            8.070E-02  4.780E-05  0.034484   
   5.50            7.482E-02  4.388E-05  0.040783   
   6.00            6.980E-02  4.059E-05  0.047556   
   6.50            6.547E-02  3.777E-05  0.054797   
   7.00            6.169E-02  3.533E-05  0.062499   
   8.00            5.539E-02  3.133E-05  0.079248   
   9.00            5.036E-02  2.817E-05  0.097785   
  10.00            4.624E-02  2.562E-05  0.118     
  11.00            4.279E-02  2.350E-05  0.140     
  12.00            3.986E-02  2.172E-05  0.164     
  13.00            3.734E-02  2.021E-05  0.189     
  14.00            3.515E-02  1.889E-05  0.216     
  15.00            3.322E-02  1.775E-05  0.245     
  16.00            3.151E-02  1.674E-05  0.275     
  17.00            2.998E-02  1.584E-05  0.307     
  18.00            2.861E-02  1.504E-05  0.340     
  20.00            2.625E-02  1.367E-05  0.412     
  22.50            2.384E-02  1.228E-05  0.510     
  25.00            2.187E-02  1.115E-05  0.617     
  27.50            2.023E-02  1.023E-05  0.733     
  30.00            1.884E-02  9.445E-06  0.859     
  32.50            1.765E-02  8.780E-06  0.993     
  35.00            1.662E-02  8.205E-06  1.136     
  37.50            1.572E-02  7.703E-06  1.287     
  40.00            1.492E-02  7.262E-06  1.447     
  45.00            1.357E-02  6.520E-06  1.791     
  50.00            1.247E-02  5.920E-06  2.168     
  55.00            1.156E-02  5.424E-06  2.576     
  60.00            1.079E-02  5.008E-06  3.014     
  65.00            1.013E-02  4.653E-06  3.482     
  70.00            9.561E-03  4.347E-06  3.980     
  80.00            8.622E-03  3.845E-06  5.059     
  90.00            7.881E-03  3.450E-06  6.247     
 100.00            7.279E-03  3.131E-06  7.540     
#--0---------------------------------------------------------
# M0ultiply Stopping by        for Stopping Units
# -0------------------        ------------------
#  01.0200E+01                 eV / Angstrom 
#  01.0200E+02                keV / micron   
#  01.0200E+02                MeV / mm       
#  01.0000E+00                keV / (ug/cm2) 
#  01.0000E+00                MeV / (mg/cm2) 
#  01.0000E+03                keV / (mg/cm2) 
#  01.0374E+01                 eV / (1E15 atoms/cm2)
#  04.7074E+00                L.S.S. reduced units
# =0=================================================================
# (0C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
