#Data:X Data:Y Source:X Source:Y
351 0 95.3 72
352 0 97.6 72
353 0 99.9 72
354 0 102.2 72
355 0 104.5 72
356 0 106.8 72
357 0 109.1 72
358 0 111.4 72
359 3.480278E-03 113.7 73.5
360 3.480278E-03 116 73.5
361 1.276102E-02 118.3 77.5
362 1.740139E-02 120.6 79.5
363 2.204176E-02 122.9 81.5
364 3.364269E-02 125.2 86.5
365 4.060325E-02 127.5 89.5
366 4.988399E-02 129.8 93.5
367 6.148492E-02 132.1 98.5
368 7.772622E-02 134.4 105.5
369 8.932715E-02 136.7 110.5
370 0.1032483 139 116.5
371 0.1264501 141.3 126.5
372 0.1519722 143.6 137.5
373 0.175174 145.9 147.5
374 0.2308585 148.2 171.5
375 0.2656612 150.5 186.5
376 0.3306265 152.8 214.5
377 0.4327146 155.1 258.5
378 0.4582367 157.4 269.5
379 0.5162413 159.7 294.5
380 0.6032482 162 332
381 0.6763341 164.3 363.5
382 0.725058 166.6 384.5
383 0.7691416 168.9 403.5
384 0.8410673 171.2 434.5
385 0.8573086 173.5 441.5
386 0.8828306 175.8 452.5
387 0.9106728 178.1 464.5
388 0.9199536 180.4 468.5
389 0.9361949 182.7 475.5
390 0.9361949 185 475.5
391 0.9477958 187.3 480.5
392 0.950116 189.6 481.5
393 0.9477958 191.9 480.5
394 0.9431555 194.2 478.5
395 0.9385151 196.5 476.5
396 0.924594 198.8 470.5
397 0.9106728 201.1 464.5
398 0.8944315 203.4 457.5
399 0.8851508 205.7 453.5
400 0.8596288 208 442.5
401 0.8317865 210.3 430.5
402 0.813225 212.6 422.5
403 0.7946635 214.9 414.5
404 0.7691416 217.2 403.5
405 0.7575406 219.5 398.5
406 0.7308584 221.8 387
407 0.6948956 224.1 371.5
408 0.6600928 226.4 356.5
409 0.6461717 228.7 350.5
410 0.6229699 231 340.5
411 0.5928074 233.3 327.5
412 0.5603248 235.6 313.5
413 0.5464037 237.9 307.5
414 0.5255221 240.2 298.5
415 0.5174014 242.5 295
416 0.4930394 244.8 284.5
417 0.4675174 247.1 273.5
418 0.4559165 249.4 268.5
419 0.437355 251.7 260.5
420 0.4164733 254 251.5
421 0.3909513 256.3 240.5
422 0.3793503 258.6 235.5
423 0.3654292 260.9 229.5
424 0.3399072 263.2 218.5
425 0.3283063 265.5 213.5
426 0.3143851 267.8 207.5
427 0.2981439 270.1 200.5
428 0.2819026 272.4 193.5
429 0.274942 274.7 190.5
430 0.2656612 277 186.5
431 0.2540603 279.3 181.5
432 0.2424594 281.6 176.5
433 0.2308585 283.9 171.5
434 0.2192575 286.2 166.5
435 0.2076566 288.5 161.5
436 0.2030162 290.8 159.5
437 0.1890951 293.1 153.5
438 0.1798144 295.4 149.5
439 0.175174 297.7 147.5
440 0.1658933 300 143.5
441 0.1566125 302.3 139.5
442 0.149652 304.6 136.5
443 0.1450116 306.9 134.5
444 0.1334107 309.2 129.5
445 0.1264501 311.5 126.5
446 0.1218097 313.8 124.5
447 0.1148492 316.1 121.5
448 0.1078886 318.4 118.5
449 0.1032483 320.7 116.5
450 9.860789E-02 323 114.5
451 8.932715E-02 325.3 110.5
452 8.932715E-02 327.6 110.5
453 8.468678E-02 329.9 108.5
454 0.0800464 332.2 106.5
455 7.540603E-02 334.5 104.5
456 7.308584E-02 336.8 103.5
457 6.844547E-02 339.1 101.5
458 0.0638051 341.4 99.5
459 0.0638051 343.7 99.5
460 6.148492E-02 346 98.5
461 5.684455E-02 348.3 96.5
462 5.452436E-02 350.6 95.5
463 5.220418E-02 352.9 94.5
464 4.756381E-02 355.2 92.5
465 4.756381E-02 357.5 92.5
466 4.524362E-02 359.8 91.5
467 4.060325E-02 362.1 89.5
468 4.060325E-02 364.4 89.5
469 3.828306E-02 366.7 88.5
470 3.596288E-02 369 87.5
471 3.364269E-02 371.3 86.5
472 3.364269E-02 373.6 86.5
473 3.132251E-02 375.9 85.5
474 2.900232E-02 378.2 84.5
475 2.900232E-02 380.5 84.5
476 2.668213E-02 382.8 83.5
477 2.436195E-02 385.1 82.5
478 2.436195E-02 387.4 82.5
479 2.204176E-02 389.7 81.5
480 2.204176E-02 392 81.5
481 2.204176E-02 394.3 81.5
482 2.204176E-02 396.6 81.5
483 1.972158E-02 398.9 80.5
484 1.740139E-02 401.2 79.5
485 1.740139E-02 403.5 79.5
486 1.740139E-02 405.8 79.5
487 1.508121E-02 408.1 78.5
488 1.508121E-02 410.4 78.5
489 1.276102E-02 412.7 77.5
490 1.276102E-02 415 77.5
491 1.276102E-02 417.3 77.5
492 1.044084E-02 419.6 76.5
493 1.044084E-02 421.9 76.5
494 8.120649E-03 424.2 75.5
495 8.120649E-03 426.5 75.5
496 5.800464E-03 428.8 74.5
497 5.800464E-03 431.1 74.5
498 5.800464E-03 433.4 74.5
499 3.480278E-03 435.7 73.5
500 3.480278E-03 438 73.5
501 1.160093E-03 440.3 72.5
502 1.160093E-03 442.6 72.5
503 1.160093E-03 444.9 72.5
504 0 447.2 72
505 0 449.5 72
506 0 451.8 72
507 0 454.1 72
508 0 456.4 72
509 0 458.7 72
510 0 461 72
511 0 463.3 72
512 0 465.6 72
513 0 467.9 72
514 0 470.2 72
515 0 472.5 72
516 0 474.8 72
517 0 477.1 72
518 0 479.4 72
