#Data:X Data:Y Source:X Source:Y
401 0.1199041 71.05 94.5
402 0.1438849 75.6 99.5
403 0.1870504 80.15 108.5
404 0.2158273 84.7 114.5
405 0.2589928 89.25 123.5
406 0.2877698 93.8 129.5
407 0.3309352 98.35 138.5
408 0.3693046 102.9 146.5
409 0.4076739 107.45 154.5
410 0.4604317 112 165.5
411 0.5035971 116.55 174.5
412 0.558753 121.1 186
413 0.5995204 125.65 194.5
414 0.6666667 130.2 208.5
415 0.7098321 134.75 217.5
416 0.764988 139.3 229
417 0.8105516 143.85 238.5
418 0.8441247 148.4 245.5
419 0.8681055 152.95 250.5
420 0.8920863 157.5 255.5
421 0.911271 162.05 259.5
422 0.9304556 166.6 263.5
423 0.9448441 171.15 266.5
424 0.9592326 175.7 269.5
425 0.9736211 180.25 272.5
426 0.9784173 184.8 273.5
427 0.9880096 189.35 275.5
428 0.9976019 193.9 277.5
429 0.9976019 198.45 277.5
430 0.9976019 203 277.5
431 0.9976019 207.55 277.5
432 0.9952039 212.1 277
433 0.9832134 216.65 274.5
434 0.9760192 221.2 273
435 0.9640288 225.75 270.5
436 0.9448441 230.3 266.5
437 0.9352518 234.85 264.5
438 0.9160671 239.4 260.5
439 0.9016787 243.95 257.5
440 0.882494 248.5 253.5
441 0.8633093 253.05 249.5
442 0.8489209 257.6 246.5
443 0.8297362 262.15 242.5
444 0.8105516 266.7 238.5
445 0.7913669 271.25 234.5
446 0.7769784 275.8 231.5
447 0.7529976 280.35 226.5
448 0.7338129 284.9 222.5
449 0.7098321 289.45 217.5
450 0.6858513 294 212.5
451 0.6714628 298.55 209.5
452 0.647482 303.1 204.5
453 0.6282974 307.65 200.5
454 0.6091127 312.2 196.5
455 0.5947242 316.75 193.5
456 0.5707434 321.3 188.5
457 0.5611511 325.85 186.5
458 0.5371703 330.4 181.5
459 0.5275779 334.95 179.5
460 0.5083933 339.5 175.5
461 0.4940048 344.05 172.5
462 0.4796163 348.6 169.5
463 0.4604317 353.15 165.5
464 0.4508393 357.7 163.5
465 0.4340528 362.25 160
466 0.4220623 366.8 157.5
467 0.41247 371.35 155.5
468 0.3980815 375.9 152.5
469 0.383693 380.45 149.5
470 0.3693046 385 146.5
471 0.3597122 389.55 144.5
472 0.3501199 394.1 142.5
473 0.3357314 398.65 139.5
474 0.3261391 403.2 137.5
475 0.3165468 407.75 135.5
476 0.3021583 412.3 132.5
477 0.2925659 416.85 130.5
478 0.2877698 421.4 129.5
479 0.2781775 425.95 127.5
480 0.2685851 430.5 125.5
481 0.2589928 435.05 123.5
482 0.2494005 439.6 121.5
483 0.2398082 444.15 119.5
484 0.2302158 448.7 117.5
485 0.2254197 453.25 116.5
486 0.2158273 457.8 114.5
487 0.206235 462.35 112.5
488 0.2014388 466.9 111.5
489 0.1918465 471.45 109.5
490 0.1894484 476 109
491 0.1822542 480.55 107.5
492 0.1726619 485.1 105.5
493 0.1678657 489.65 104.5
494 0.1582734 494.2 102.5
495 0.1558753 498.75 102
496 0.1486811 503.3 100.5
497 0.1438849 507.85 99.5
498 0.1390887 512.4 98.5
499 0.1294964 516.95 96.5
