#Data:X Data:Y Source:X Source:Y
400 4.556355E-02 64 91.5
401 5.515588E-02 67.79166 93.5
402 6.954437E-02 71.58334 96.5
403 8.393285E-02 75.375 99.5
404 9.832134E-02 79.16666 102.5
405 0.1127098 82.95834 105.5
406 0.1342926 86.75 110
407 0.1510791 90.54166 113.5
408 0.1798561 94.33334 119.5
409 0.2110312 98.125 126
410 0.2470024 101.9167 133.5
411 0.3261391 105.7083 150
412 0.4100719 109.5 167.5
413 0.5395684 113.2917 194.5
414 0.6426858 117.0833 216
415 0.7338129 120.875 235
416 0.7985612 124.6667 248.5
417 0.8561151 128.4583 260.5
418 0.8968825 132.25 269
419 0.9376499 136.0417 277.5
420 0.9472422 139.8333 279.5
421 0.971223 143.625 284.5
422 0.9856115 147.4167 287.5
423 0.9952039 151.2083 289.5
424 0.9952039 155 289.5
425 0.9952039 158.7917 289.5
426 0.9664268 162.5833 283.5
427 0.9232614 166.375 274.5
428 0.8657075 170.1667 262.5
429 0.8465228 173.9583 258.5
430 0.8009592 177.75 249
431 0.7697842 181.5417 242.5
432 0.7505995 185.3333 238.5
433 0.7266187 189.125 233.5
434 0.7170264 192.9167 231.5
435 0.7074341 196.7083 229.5
436 0.7074341 200.5 229.5
437 0.7074341 204.2917 229.5
438 0.7074341 208.0833 229.5
439 0.7074341 211.875 229.5
440 0.7026379 215.6667 228.5
441 0.7026379 219.4583 228.5
442 0.6930456 223.25 226.5
443 0.6834533 227.0417 224.5
444 0.6786571 230.8333 223.5
445 0.6642686 234.625 220.5
446 0.6450839 238.4167 216.5
447 0.6306955 242.2083 213.5
448 0.6115108 246 209.5
449 0.58753 249.7917 204.5
450 0.558753 253.5833 198.5
451 0.5251799 257.375 191.5
452 0.498801 261.1667 186
453 0.4820144 264.9583 182.5
454 0.4580336 268.75 177.5
455 0.4340528 272.5417 172.5
456 0.4196643 276.3333 169.5
457 0.4004796 280.125 165.5
458 0.3908873 283.9167 163.5
459 0.3741007 287.7083 160
460 0.3573141 291.5 156.5
461 0.3477218 295.2917 154.5
462 0.3381295 299.0833 152.5
463 0.3285372 302.875 150.5
464 0.3189448 306.6667 148.5
465 0.3093525 310.4583 146.5
466 0.2997602 314.25 144.5
467 0.2901679 318.0417 142.5
468 0.2853717 321.8333 141.5
469 0.2757794 325.625 139.5
470 0.2709832 329.4167 138.5
471 0.2589928 333.2083 136
472 0.2517986 337 134.5
473 0.2470024 340.7917 133.5
474 0.2422062 344.5833 132.5
475 0.2326139 348.375 130.5
476 0.2278177 352.1667 129.5
477 0.2206235 355.9583 128
478 0.2134293 359.75 126.5
479 0.2086331 363.5417 125.5
480 0.1990408 367.3333 123.5
481 0.1990408 371.125 123.5
482 0.1918465 374.9167 122
483 0.1846523 378.7083 120.5
484 0.1798561 382.5 119.5
485 0.1798561 386.2917 119.5
486 0.17506 390.0833 118.5
487 0.1654676 393.875 116.5
488 0.1606715 397.6667 115.5
489 0.1558753 401.4583 114.5
490 0.1510791 405.25 113.5
491 0.146283 409.0417 112.5
492 0.146283 412.8333 112.5
493 0.1414868 416.625 111.5
494 0.1342926 420.4167 110
495 0.1294964 424.2083 109
496 0.1270983 428 108.5
497 0.1223022 431.7917 107.5
498 0.117506 435.5833 106.5
499 0.117506 439.375 106.5
500 0.1127098 443.1667 105.5
501 0.1127098 446.9583 105.5
502 0.1031175 450.75 103.5
503 0.1031175 454.5417 103.5
504 0.1031175 458.3333 103.5
505 9.832134E-02 462.125 102.5
506 9.352518E-02 465.9167 101.5
507 9.352518E-02 469.7083 101.5
508 8.872902E-02 473.5 100.5
509 8.872902E-02 477.2917 100.5
510 8.393285E-02 481.0833 99.5
511 8.393285E-02 484.875 99.5
512 7.913669E-02 488.6667 98.5
513 7.913669E-02 492.4583 98.5
514 7.673861E-02 496.25 98
515 7.434053E-02 500.0417 97.5
516 6.954437E-02 503.8333 96.5
517 6.954437E-02 507.625 96.5
518 6.954437E-02 511.4167 96.5
519 0.0647482 515.2083 95.5
520 0.0647482 519 95.5
