#Data:X Data:Y Source:X Source:Y
278 2.431422 145.2925 102.5
280 2.431422 146.3 102.5
282 2.431422 147.3075 102.5
284 4.114713 148.315 116
286 7.107232 149.3225 140
288 9.289277 150.33 157.5
290 12.03242 151.3375 179.5
292 13.90274 152.345 194.5
294 16.20948 153.3525 213
296 17.89277 154.36 226.5
298 18.51621 155.3675 231.5
300 19.76309 156.375 241.5
302 19.38903 157.3825 238.5
304 19.88778 158.39 242.5
306 21.7581 159.3975 257.5
308 22.25686 160.405 261.5
310 22.75561 161.4125 265.5
312 23.25436 162.42 269.5
314 24.00249 163.4275 275.5
316 24.00249 164.435 275.5
318 24.62593 165.4425 280.5
320 24.75062 166.45 281.5
322 25.06234 167.4575 284
324 25.43641 168.465 287
326 25.62344 169.4725 288.5
328 25.87282 170.48 290.5
330 26.24688 171.4875 293.5
332 26.74564 172.495 297.5
334 26.87033 173.5025 298.5
336 27.1197 174.51 300.5
338 27.36908 175.5175 302.5
340 27.74314 176.525 305.5
342 27.99252 177.5325 307.5
344 28.2419 178.54 309.5
346 28.36658 179.5475 310.5
348 28.36658 180.555 310.5
350 28.36658 181.5625 310.5
352 28.42893 182.57 311
354 28.49127 183.5775 311.5
356 28.49127 184.585 311.5
358 28.49127 185.5925 311.5
360 28.49127 186.6 311.5
362 28.61596 187.6075 312.5
364 28.74065 188.615 313.5
366 29.05237 189.6225 316
368 29.48878 190.63 319.5
370 29.98753 191.6375 323.5
372 30.23691 192.645 325.5
374 30.3616 193.6525 326.5
376 30.61097 194.66 328.5
378 30.92269 195.6675 331
380 31.60848 196.675 336.5
382 30.73566 197.6825 329.5
384 31.60848 198.69 336.5
386 31.73317 199.6975 337.5
388 32.4813 200.705 343.5
390 32.85536 201.7125 346.5
392 33.60349 202.72 352.5
394 33.60349 203.7275 352.5
396 34.35162 204.735 358.5
398 34.601 205.7425 360.5
400 34.97506 206.75 363.5
402 35.34913 207.7575 366.5
404 35.34913 208.765 366.5
406 35.5985 209.7725 368.5
408 35.97257 210.78 371.5
410 36.22195 211.7875 373.5
412 36.47132 212.795 375.5
414 36.7207 213.8025 377.5
416 36.97007 214.81 379.5
418 37.21945 215.8175 381.5
420 37.21945 216.825 381.5
422 37.84289 217.8325 386.5
424 37.84289 218.84 386.5
426 37.84289 219.8475 386.5
428 38.46634 220.855 391.5
430 38.46634 221.8625 391.5
