#Data:X Data:Y Source:X Source:Y
2.034121 31.97267 301 437.5
2.217848 33.66354 315 454
2.395013 35.20068 328.5 469
2.57874 36.78907 342.5 484.5
2.769029 38.27498 357 499
2.972441 39.86337 372.5 514.5
3.156168 41.19556 386.5 527.5
3.366142 42.63023 402.5 541.5
3.576115 43.91119 418.5 554
3.792651 45.19214 435 566.5
4.02231 46.31939 452.5 577.5
4.245407 47.49786 469.5 589
4.475066 48.62511 487 600
4.711286 49.59863 505 609.5
4.954068 50.52092 523.5 618.5
5.203412 51.49445 542.5 628
5.452756 52.26302 561.5 635.5
5.708662 52.98036 581 642.5
5.971128 53.59522 601 648.5
6.233596 54.15884 621 654
6.496063 54.61998 641 658.5
6.75853 55.02989 661 662.5
7.027559 55.38856 681.5 666
7.296588 55.74722 702 669.5
7.572178 55.90094 723 671
7.834646 56.20837 743 674
8.103675 56.36208 763.5 675.5
8.379265 56.56704 784.5 677.5
