#Data:X Data:Y Source:X Source:Y
272 2.431422 145 102.5
273 2.431422 145.5 102.5
274 2.431422 146 102.5
275 2.431422 146.5 102.5
276 2.431422 147 102.5
277 2.431422 147.5 102.5
278 4.114713 148 116
279 4.114713 148.5 116
280 7.169576 149 140.5
281 7.169576 149.5 140.5
282 9.289277 150 157.5
283 9.289277 150.5 157.5
284 12.34414 151 182
285 12.34414 151.5 182
286 13.90274 152 194.5
287 13.90274 152.5 194.5
288 16.02244 153 211.5
289 16.02244 153.5 211.5
290 17.89277 154 226.5
291 17.89277 154.5 226.5
292 19.88778 155 242.5
293 19.88778 155.5 242.5
294 19.76309 156 241.5
295 19.76309 156.5 241.5
296 19.38903 157 238.5
297 19.38903 157.5 238.5
298 19.88778 158 242.5
299 19.88778 158.5 242.5
300 21.7581 159 257.5
301 21.7581 159.5 257.5
302 22.25686 160 261.5
303 22.25686 160.5 261.5
304 22.81796 161 266
305 22.81796 161.5 266
306 23.25436 162 269.5
307 23.25436 162.5 269.5
308 24.00249 163 275.5
309 24.00249 163.5 275.5
310 24.00249 164 275.5
311 24.00249 164.5 275.5
312 24.68828 165 281
313 24.68828 165.5 281
314 24.75062 166 281.5
315 24.75062 166.5 281.5
316 25 167 283.5
317 25 167.5 283.5
318 25.37407 168 286.5
319 25.37407 168.5 286.5
320 25.62344 169 288.5
321 25.62344 169.5 288.5
322 25.87282 170 290.5
323 25.87282 170.5 290.5
324 26.24688 171 293.5
325 26.24688 171.5 293.5
326 26.74564 172 297.5
327 26.74564 172.5 297.5
328 26.87033 173 298.5
329 26.87033 173.5 298.5
330 27.1197 174 300.5
331 27.1197 174.5 300.5
332 27.36908 175 302.5
333 27.36908 175.5 302.5
334 27.74314 176 305.5
335 27.74314 176.5 305.5
336 27.99252 177 307.5
337 27.99252 177.5 307.5
338 28.2419 178 309.5
339 28.2419 178.5 309.5
340 28.36658 179 310.5
341 28.36658 179.5 310.5
342 28.36658 180 310.5
343 28.36658 180.5 310.5
344 28.36658 181 310.5
345 28.36658 181.5 310.5
346 28.36658 182 310.5
347 28.36658 182.5 310.5
348 28.36658 183 310.5
349 28.36658 183.5 310.5
350 28.36658 184 310.5
351 28.36658 184.5 310.5
352 28.49127 185 311.5
353 28.49127 185.5 311.5
354 28.49127 186 311.5
355 28.49127 186.5 311.5
356 28.61596 187 312.5
357 28.61596 187.5 312.5
358 28.74065 188 313.5
359 28.74065 188.5 313.5
360 28.99002 189 315.5
361 28.99002 189.5 315.5
362 29.48878 190 319.5
363 29.48878 190.5 319.5
364 29.98753 191 323.5
365 29.98753 191.5 323.5
366 30.23691 192 325.5
367 30.23691 192.5 325.5
368 30.3616 193 326.5
369 30.3616 193.5 326.5
370 30.86035 194 330.5
371 30.86035 194.5 330.5
372 31.10973 195 332.5
373 31.10973 195.5 332.5
374 31.60848 196 336.5
375 31.60848 196.5 336.5
376 31.85785 197 338.5
377 31.85785 197.5 338.5
378 31.60848 198 336.5
379 31.60848 198.5 336.5
380 31.98254 199 339.5
381 31.98254 199.5 339.5
382 32.41895 200 343
383 32.41895 200.5 343
384 32.85536 201 346.5
385 32.85536 201.5 346.5
386 33.60349 202 352.5
387 33.60349 202.5 352.5
388 33.60349 203 352.5
389 33.60349 203.5 352.5
390 34.601 204 360.5
391 34.601 204.5 360.5
392 34.85037 205 362.5
393 34.85037 205.5 362.5
394 35.22444 206 365.5
395 35.22444 206.5 365.5
396 35.47382 207 367.5
397 35.47382 207.5 367.5
398 35.72319 208 369.5
399 35.72319 208.5 369.5
400 35.84788 209 370.5
401 35.84788 209.5 370.5
402 36.09726 210 372.5
403 36.09726 210.5 372.5
404 36.34663 211 374.5
405 36.34663 211.5 374.5
406 36.59601 212 376.5
407 36.59601 212.5 376.5
408 36.84539 213 378.5
409 36.84539 213.5 378.5
410 37.21945 214 381.5
411 37.21945 214.5 381.5
412 37.34414 215 382.5
413 37.34414 215.5 382.5
414 37.84289 216 386.5
415 37.84289 216.5 386.5
416 38.34164 217 390.5
417 38.34164 217.5 390.5
418 38.59102 218 392.5
419 38.59102 218.5 392.5
420 38.46634 219 391.5
421 38.46634 219.5 391.5
422 38.71571 220 393.5
423 38.71571 220.5 393.5
424 38.59102 221 392.5
425 38.59102 221.5 392.5
426 38.71571 222 393.5
427 38.71571 222.5 393.5
428 38.71571 223 393.5
429 38.71571 223.5 393.5
430 38.8404 224 394.5
431 38.8404 224.5 394.5
432 38.96509 225 395.5
433 38.96509 225.5 395.5
434 39.08978 226 396.5
435 39.08978 226.5 396.5
436 39.21446 227 397.5
437 39.21446 227.5 397.5
438 39.33915 228 398.5
439 39.33915 228.5 398.5
440 39.52618 229 400
441 39.52618 229.5 400
442 39.65087 230 401
443 39.65087 230.5 401
444 39.71322 231 401.5
445 39.71322 231.5 401.5
446 39.83791 232 402.5
447 39.83791 232.5 402.5
448 39.96259 233 403.5
449 39.96259 233.5 403.5
450 40.08728 234 404.5
451 40.08728 234.5 404.5
452 40.08728 235 404.5
453 40.08728 235.5 404.5
454 40.21197 236 405.5
455 40.21197 236.5 405.5
456 40.21197 237 405.5
457 40.21197 237.5 405.5
458 40.21197 238 405.5
459 40.21197 238.5 405.5
460 40.21197 239 405.5
461 40.21197 239.5 405.5
462 40.21197 240 405.5
463 40.21197 240.5 405.5
464 40.08728 241 404.5
465 40.08728 241.5 404.5
466 40.08728 242 404.5
467 40.08728 242.5 404.5
468 40.08728 243 404.5
469 40.08728 243.5 404.5
470 40.08728 244 404.5
471 40.08728 244.5 404.5
472 39.83791 245 402.5
473 39.83791 245.5 402.5
474 39.83791 246 402.5
475 39.83791 246.5 402.5
476 39.83791 247 402.5
477 39.83791 247.5 402.5
478 39.83791 248 402.5
479 39.83791 248.5 402.5
480 39.71322 249 401.5
481 39.71322 249.5 401.5
482 39.46384 250 399.5
483 39.46384 250.5 399.5
484 39.46384 251 399.5
485 39.46384 251.5 399.5
486 39.33915 252 398.5
487 39.33915 252.5 398.5
488 39.21446 253 397.5
489 39.21446 253.5 397.5
490 39.08978 254 396.5
491 39.08978 254.5 396.5
492 38.96509 255 395.5
493 38.96509 255.5 395.5
494 38.96509 256 395.5
495 38.96509 256.5 395.5
496 38.77805 257 394
497 38.77805 257.5 394
498 38.77805 258 394
499 38.77805 258.5 394
500 38.59102 259 392.5
501 38.59102 259.5 392.5
502 38.34164 260 390.5
503 38.34164 260.5 390.5
504 38.21696 261 389.5
505 38.21696 261.5 389.5
506 38.09227 262 388.5
507 38.09227 262.5 388.5
508 37.84289 263 386.5
509 37.84289 263.5 386.5
510 37.59352 264 384.5
511 37.59352 264.5 384.5
512 37.46883 265 383.5
513 37.46883 265.5 383.5
514 37.09476 266 380.5
515 37.09476 266.5 380.5
516 37.03242 267 380
517 37.03242 267.5 380
518 36.97007 268 379.5
519 36.97007 268.5 379.5
520 36.34663 269 374.5
521 36.34663 269.5 374.5
522 36.34663 270 374.5
523 36.34663 270.5 374.5
524 35.84788 271 370.5
525 35.84788 271.5 370.5
526 35.84788 272 370.5
527 35.84788 272.5 370.5
528 35.72319 273 369.5
529 35.72319 273.5 369.5
530 35.47382 274 367.5
531 35.47382 274.5 367.5
532 35.22444 275 365.5
533 35.22444 275.5 365.5
534 34.97506 276 363.5
535 34.97506 276.5 363.5
536 34.601 277 360.5
537 34.601 277.5 360.5
538 34.35162 278 358.5
539 34.35162 278.5 358.5
540 34.10225 279 356.5
541 34.10225 279.5 356.5
542 33.85287 280 354.5
543 33.85287 280.5 354.5
544 33.60349 281 352.5
545 33.60349 281.5 352.5
546 33.35411 282 350.5
547 33.35411 282.5 350.5
548 33.10474 283 348.5
549 33.10474 283.5 348.5
550 32.85536 284 346.5
551 32.85536 284.5 346.5
552 32.35661 285 342.5
553 32.35661 285.5 342.5
554 32.35661 286 342.5
555 32.35661 286.5 342.5
556 32.23192 287 341.5
