##Data:X Data:Y Source:X Source:Y
315 2.306733 166.3594 101.5
316 2.306733 166.8625 101.5
317 2.55611 167.3656 103.5
318 2.55611 167.8687 103.5
319 2.306733 168.3719 101.5
320 2.306733 168.875 101.5
321 3.117207 169.3781 108
322 3.117207 169.8813 108
323 4.052369 170.3844 115.5
324 4.052369 170.8875 115.5
325 6.17207 171.3906 132.5
326 6.17207 171.8938 132.5
327 6.296758 172.3969 133.5
328 6.296758 172.9 133.5
329 6.546134 173.4031 135.5
330 6.546134 173.9063 135.5
331 10.41147 174.4094 166.5
332 10.41147 174.9125 166.5
333 10.53616 175.4156 167.5
334 10.53616 175.9187 167.5
335 10.78554 176.4219 169.5
336 10.78554 176.925 169.5
337 13.02993 177.4281 187.5
338 13.02993 177.9313 187.5
339 15.399 178.4344 206.5
340 15.399 178.9375 206.5
341 15.46135 179.4406 207
342 15.46135 179.9438 207
343 16.89526 180.4469 218.5
344 16.89526 180.95 218.5
345 20.01247 181.4531 243.5
346 20.01247 181.9563 243.5
347 19.95012 182.4594 243
348 19.95012 182.9625 243
349 20.38653 183.4656 246.5
350 20.38653 183.9688 246.5
351 21.7581 184.4719 257.5
352 21.7581 184.975 257.5
353 22.75561 185.4781 265.5
354 22.75561 185.9812 265.5
355 22.8803 186.4844 266.5
356 22.8803 186.9875 266.5
357 24.18953 187.4906 277
358 24.18953 187.9938 277
359 24.62593 188.4969 280.5
360 24.93766 189 283
361 24.93766 189.5031 283
362 24.87531 190.0063 282.5
363 24.87531 190.5094 282.5
364 26.99501 191.0125 299.5
365 26.99501 191.5156 299.5
366 27.24439 192.0188 301.5
367 27.24439 192.5219 301.5
368 27.93017 193.025 307
369 27.93017 193.5281 307
370 28.61596 194.0313 312.5
371 28.61596 194.5344 312.5
372 28.86534 195.0375 314.5
373 28.86534 195.5406 314.5
374 29.30175 196.0437 318
375 29.30175 196.5469 318
376 30.61097 197.05 328.5
377 30.61097 197.5531 328.5
378 30.98504 198.0563 331.5
379 30.98504 198.5594 331.5
380 31.48379 199.0625 335.5
381 31.48379 199.5656 335.5
382 32.23192 200.0688 341.5
383 32.23192 200.5719 341.5
384 32.79302 201.075 346
385 32.79302 201.5781 346
386 33.35411 202.0813 350.5
387 33.35411 202.5844 350.5
388 33.22943 203.0875 349.5
389 33.22943 203.5906 349.5
390 33.66584 204.0938 353
391 33.66584 204.5969 353
392 33.97755 205.1 355.5
393 33.97755 205.6031 355.5
394 35.09975 206.1062 364.5
395 35.09975 206.6094 364.5
396 34.85037 207.1125 362.5
