#Data:X Data:Y Source:X Source:Y
0.012 2.82977 124.92 718.5
0.024 2.797697 137.84 712
0.036 2.777961 150.76 708
0.048 2.758224 163.68 704
0.06 2.740954 176.6 700.5
0.072 2.726151 189.52 697.5
8.400001E-02 2.708882 202.44 694
0.096 2.70148 215.36 692.5
0.108 2.684211 228.28 689
0.12 2.666941 241.2 685.5
0.132 2.657072 254.12 683.5
0.144 2.622533 267.04 676.5
0.156 2.615132 279.96 675
0.168 2.580592 292.88 668
0.18 2.555921 305.8 663
0.192 2.521382 318.72 656
0.204 2.491776 331.64 650
0.216 2.444901 344.56 640.5
0.228 2.405428 357.48 632.5
0.24 2.346217 370.4 620.5
0.252 2.301809 383.32 611.5
0.264 2.242599 396.24 599.5
0.276 2.168586 409.16 584.5
0.288 2.104441 422.08 571.5
0.3 2.015625 435 553.5
0.312 1.939145 447.92 538
0.324 1.847862 460.84 519.5
0.336 1.76398 473.76 502.5
0.348 1.655428 486.68 480.5
0.36 1.534539 499.6 456
0.372 1.416118 512.52 432
0.384 1.297697 525.44 408
0.396 1.189145 538.36 386
0.408 1.046053 551.28 357
0.42 0.9202303 564.2 331.5
0.432 0.796875 577.12 306.5
0.444 0.6858553 590.04 284
0.456 0.5625 602.96 259
0.468 0.446546 615.88 235.5
0.48 0.3330592 628.8 212.5
0.492 0.2417763 641.72 194
0.504 0.1381579 654.64 173
0.516 8.634868E-02 667.56 162.5
0.528 3.207237E-02 680.48 151.5
0.54 1.233553E-02 693.4 147.5
0.552 7.401316E-03 706.32 146.5
