#Data:X Data:Y Source:X Source:Y
0 3.19375 96 687.5
0.05 3.14125 106.9 678.5
0.1 3.100417 117.8 671.5
0.15 3.05375 128.7 663.5
0.2 2.94 139.6 644
0.25 2.759167 150.5 613
0.3 2.487917 161.4 566.5
0.35 2.088333 172.3 498
0.4 1.612917 183.2 416.5
0.45 1.099583 194.1 328.5
0.5 0.735 205 266
0.55 0.6241667 215.9 247
0.6 0.6183333 226.8 246
0.65 0.6270834 237.7 247.5
0.7 0.63 248.6 248
0.75 0.63 259.5 248
0.8 0.6270834 270.4 247.5
0.85 0.63 281.3 248
0.9 0.63875 292.2 249.5
0.95 0.63 303.1 248
1 0.62125 314 246.5
1.05 0.62125 324.9 246.5
1.1 0.60375 335.8 243.5
1.15 0.5920833 346.7 241.5
1.2 0.5833333 357.6 240
1.25 0.56875 368.5 237.5
1.3 0.55125 379.4 234.5
1.35 0.5279167 390.3 230.5
1.4 0.5133333 401.2 228
1.45 0.4929167 412.1 224.5
1.5 0.4725 423 221
1.55 0.44625 433.9 216.5
1.6 0.4141667 444.8 211
1.65 0.385 455.7 206
1.7 0.3529167 466.6 200.5
1.75 0.315 477.5 194
1.8 0.2829167 488.4 188.5
1.85 0.2508333 499.3 183
1.9 0.2070833 510.2 175.5
1.95 0.1808333 521.1 171
2 0.14 532 164
2.05 0.11375 542.9 159.5
2.1 8.166666E-02 553.8 154
2.15 4.666667E-02 564.7 148
2.2 4.083333E-02 575.6 147
2.25 3.208333E-02 586.5 145.5
2.3 1.458333E-02 597.4 142.5
2.35 5.833333E-03 608.3 141
