#Data:X Data:Y Source:X Source:Y
0 0.34 172 377
0.06 0.3753333 185.16 403.5
0.12 0.42 198.32 437
0.18 0.464 211.48 470
0.24 0.498 224.64 495.5
0.3 0.526 237.8 516.5
0.36 0.5553333 250.96 538.5
0.42 0.578 264.12 555.5
0.48 0.59 277.28 564.5
0.54 0.6046667 290.44 575.5
0.6 0.614 303.6 582.5
0.66 0.6173334 316.76 585
0.72 0.6206667 329.92 587.5
0.78 0.626 343.08 591.5
0.84 0.626 356.24 591.5
0.9 0.6213334 369.4 588
0.96 0.6153333 382.56 583.5
1.02 0.61 395.72 579.5
1.08 0.5993333 408.88 571.5
1.14 0.5866667 422.04 562
1.2 0.574 435.2 552.5
1.26 0.5566667 448.36 539.5
1.32 0.538 461.52 525.5
1.38 0.5146667 474.68 508
1.44 0.4906667 487.84 490
1.5 0.4633333 501 469.5
1.56 0.4266667 514.16 442
1.62 0.4006667 527.32 422.5
1.68 0.356 540.48 389
1.74 0.3126667 553.64 356.5
1.8 0.272 566.8 326
1.86 0.224 579.96 290
1.92 0.172 593.12 251
1.98 0.1353333 606.28 223.5
2.04 0.094 619.44 192.5
2.1 0.06 632.6 167
2.16 0.03 645.76 144.5
2.22 1.066667E-02 658.92 130
2.28 3.333333E-03 672.08 124.5
2.34 0.002 685.24 123.5
